key,text,notes,english
Elisha,Elisha,,Elisha
Jonah,Jonah,,Jonah
Amos,Amos,,Amos
Joel,Joel,,Joel
Hosea,Hosea,,Hosea
Isaiah,Jesaja,,Isaiah
Micah,Micah,,Micah
Zephaniah,Zephaniah,,Zephaniah
Nahum,Nahum,,Nahum
Jeremiah,Jeremiah,,Jeremiah
Habakuk,Habakuk,,Habakuk
Daniel,Daniel,,Daniel
Ezekiel,Hesekiel,,Ezekiel
Obadiah,Obadiah,,Obadiah
Malachi,Malachi,,Malachi
Ruth,Ruth,,Ruth
Ezra,Ezra,,Ezra
Nehemiah,Nehemia,,Nehemiah
Esther,Esther,,Esther
Job,Job,,Job
moses2,1593 bis 1473 B.C.E. - 120 Joer,,1593 to 1473 B.C.E. – 120 years
moses3,Moses,,Moses
wilderness,Israel an der Wüst 1513 bis 1473 B.C.E. - 40 Joer,,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years
timespan_judges,1473 bis 1117 B.C.E. - 356 Joer,,1473 to 1117 B.C.E. – 356 years
timespan_judges2,Zäit vun de Riichter,,Time of the judges
temple1,Nisan 1513 B.C.E. bis Ziv 1034 B.C.E.,,Nisan 1513 B.C.E. to Ziv 1034 B.C.E.
temple2,479 Joer bis zum Tempelbau - 1 Kings 6:1,1034 BCE,479 years until the temple construction – 1 Kings 6:1
69weeks,Jesus gedeeft Hierscht 29 C.E.,,Jesus baptized autumn 29 C.E.
69weeks2,69 Wochen zum Messias - Daniel 9:25,,69 weeks to the Messiah – Daniel 9:25
jesus_service,"3,5 Joer vum Jesus-Déngscht, higeriicht de 14. Nisan, 33 CE.",,"3.5 years of Jesus service, executed Nisan 14th, 33 C.E."
jesus_life,Jesus gebuer 2 B.C.E.,,Jesus born 2 B.C.E.
exile,607 bis 537 B.C.E. – 70 Joer (Jeremia 25:11),,607 to 537 B.C.E. – 70 years (Jeremiah 25:11)
exile2,Exil,,exile
7times,Offenbarung 12:9,,Revelation 12:9
7times2,7 Mol - 2520 Joer zum Messianesche Räich 1914 CE (Daniel 4:23),,7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23)
ww1,Éischte Weltkrich - 1914-1918 CE.,,World War I – 1914–1918 C.E.
ww2,Zweete Weltkrich - 1939-1945 C.E.,,World War II – 1939–1945 C.E.
30_year_war,Drëssegjärege Krich an Europa 1618-1648,,Thirty Years' War in Europe 1618-1648
joshua,110 Joer,,110 years
joshua2,Joshua,,Joshua
caleb,méi wéi 85 Joer,,more than 85 years
caleb2,Kaleb,,Caleb
missionary1,"Éischt Missiounsrees vum Paul, c. 47-48 CE mat Barnabas a John Mark",,"First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark"
circumcision,"Beschneidungsproblem zu Antiochien, Konferenz zu Jerusalem c. 49 CE.",,"Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E."
missionary2,Second Missionary Journey c. 49-52 CE mat Silas (Silvanus),,Second Missionary Journey c. 49-52 C.E with Silas (Silvanus)
missionary3,Drëtte Missiounsrees c. 52-56 C.E.,,Third Missionary Journey c. 52-56 C.E.
caesarea,Paul am Prisong zu Caesarea c. 56-58 C.E.,,Paul in custody in Caesarea c. 56-58 C.E.
rome1,Dem Paul säin éischte Prisong zu Roum c. 59-61 C.E.,,Paul’s first imprisonment in Rome c. 59-61 C.E.
rome2,"Dem Paul säin zweete Prisong zu Roum c. 65 CE, 2 Timothy geschriwwen, Paul higeriicht",,"Paul’s second imprisonment in Rome c. 65 CE, 2 Timothy written, Paul executed"
Julius,Julius,,Julius
Augustus,Augustus,Luke 2:1,Augustus
Tiberius,Tiberius,Luke 3:1,Tiberius
Caligula,Caligula,,Caligula
Claudius,Claudius,Acts 11:28,Claudius
Nero,Nero,,Nero
Galba-Otho-Vitellius,"Galba, Otho a Vitellius (Joer vun de Véier Keeser)",,"Galba, Otho and Vitellius (Year of the Four Emperors)"
Vespasian,Vespasian,,Vespasian
event_exodus,"Exodus aus Ägypten am 14. Nisan, 1513 B.C.E.",,"Exodus from Egypt on Nisan 14th, 1513 B.C.E."
event_division_kingdom,Divisioun vun Israel 997 v,,Division of Israel 997 BCE
event_destruction_samaria,Zerstéierung vu Samaria 740 B.C.E. vun Assyrien,Destruction of Samaria 740 B.C.E. by Assyria,Destruction of Samaria 740 B.C.E. by Assyria
event_destruction_samaria2,740 B.C.E. vun Assyrien,was shortened here for 2 lines,740 B.C.E. by Assyria
event_destruction_jerusalem1,"Zerstéierung vu Jerusalem 607 B.C.E. vum Babylon, 390 Joer no der Divisioun vum Räich (Ezekiel 4:5)",,"Destruction of Jerusalem 607 B.C.E. by Babylon, 390 years after the division of the kingdom (Ezekiel 4:5)"
event_temple_rebuilt,Tempel zu Jerusalem ëmgebaut 515 B.C.E.,,Temple in Jerusalem rebuilt 515 B.C.E.
event_jerusalem_rebuilt,Jerusalem Mauer ëmgebaut 455 B.C.E.,,Jerusalem wall rebuilt 455 B.C.E.
event_destruction_jerusalem2,Zerstéierung vu Jerusalem 70 CE vu Roum ënner Titus,,Destruction of Jerusalem 70 C.E. by Rome under Titus
event_1914,"Enn vun der Zäit vun den Natiounen (Luke 21:24), Gottes Räich fänkt am Himmel 1914 C.E.",include scripture Luke 21:24,"End of the time of the nations (Luke 21:24), God’s kingdom starts to rule in heaven 1914 C.E. "
became_king,gouf am Alter Kinnek,,became king at age
vulgate,Vulgata fäerdeg vum Jerome (laténgesch Iwwersetzung vun der Bibel) c. 405 C.E.,,Vulgate completed by Jerome (Latin translation of the bible) c. 405 C.E.
gutenberg,Gutenberg Bibel gedréckt 1455,,Gutenberg bible printed 1455
erasmus,Griicheschen Text vu Chrëschtleche Griichesche Schrëfte publizéiert vum Desiderius Erasmus vu Rotterdam 1516,,Greek text of Christian Greek Scriptures published by Desiderius Erasmus of Rotterdam 1516
luther,Luther Bibel Iwwersetzung am September 1522,,Luther Bible translation in September 1522
tyndale,Englesch Bibel Iwwersetzung vum Tyndale 1536,,English Bible translation by Tyndale 1536
king_james,King James Bibel 1611,,King James Bible 1611
69weeks3,"De Jesus fänkt säin Déngscht 29 CE un (Lukas 3:1, 21)",,"Jesus starts his service 29 CE (Luke 3:1, 21)"
ransom,"Mëtt vun der Woch ""Affer fir opzehalen"" Daniel 9:27",,middle of week “sacrifice to cease” Daniel 9:27
cornelius,De Cornelius huet um Enn vu 70 Wochen gedeeft (Daniel 9:24) am 36 CE.,,Cornelius baptized at the end of 70 weeks (Daniel 9:24) in 36 C.E.
columbus,Enn vun der pre-kolumbianescher Period an Amerika 1492,,end of the pre-columbian period in the Americas 1492
declaration_independence,Onofhängegkeetserklärung vun 13 Kolonien an Amerika 1776,,declaration of independence of 13 colonies in America 1776
tischendorf,Tischendorf entdeckt 1844 de Codex Sinaiticus aus dem 4. Joerhonnert,,Tischendorf discovers the Codex Sinaiticus from the 4th century in 1844
dead_sea_scrolls,Dead Sea Scrolls geschriwwen,,Dead Sea Scrolls written
septuagint,Septuagint LXX iwwersat,,Septuagint LXX translated
watchtower,"Déi éischt Ausgab vum ""Zion's Watch Tower and Herald of Christ's Presence"" ass am Joer 1879 publizéiert.",,The first issue of “Zion’s Watch Tower and Herald of Christ’s Presence” is published in 1879
photodrama,"De ""Photo-Drama of Creation"" gëtt fir d'éischt den 11. Januar 1914 zu New York gewisen.",,"The “Photo-Drama of Creation” is first shown in New York on January 11, 1914"
jehovahs_witnesses,"D'Bibelstudenten hunn en neien Numm ugeholl - Jehovas Zeien (Jesaja 43:10, 12) zu Columbus, Ohio, 1931",include scripture,"The Bible Students adopted a new name – Jehovah’s Witnesses (Isaiah 43:10, 12) in Columbus, Ohio, 1931"
gilead_school,"Watchtower Bible School of Gilead huet de Méindeg, 1. Februar 1943 ugefaang",,"Watchtower Bible School of Gilead began on Monday, February 1, 1943"
new_world_translation1,"""New World Translation of the Holy Scriptures"" verëffentlecht zu Manchester, England den 18. Juni 1960, bréngt den Numm Jehova a villen Deeler vun der Bibel nei agefouert.",hightlight reintroduction of Jehovah’s name,"“New World Translation of the Holy Scriptures” released in Manchester, England on June 18, 1960, reintroduce the name Jehovah in many parts of the Bible"
truth_book,"D'Buch ""The Truth That Leads to Eternal Life"" ass 1968 erauskomm",,The book “The Truth That Leads to Eternal Life” released 1968
metropolitan,Start vun der Metropol Zeien am Joer 2011,,Start of metropolitan witnessing in 2011
jw_org,Start vum JW.ORG mat Instruktiounen am Räichsministère Dezember 2012,,Start of JW.ORG with instructions in kingdom ministry December 2012
new_world_translation2,"Reviséiert ""Nei Welt Iwwersetzung vun den Hellege Schrëften"" verëffentlecht op alljährlechen Versammlung 2013, optimiséiert fir digital an online ze benotzen",new edition with digital and online in mind,"Revised “New World Translation of the Holy Scriptures” released at annual meeting 2013, optimized to be used digitally and online"
jw_broadcasting,Start vun der jw.broadcasting am Oktober 2014,,Start of jw.broadcasting in October 2014
meeting_workbook,"Neit Format vun der Mëtt vun der Woch Reunioun mat ""Versammlungsbuch"" ab Januar 2016",,New format of midweek meeting with “meeting workbook” starting January 2016
covid19,Covid 19,,Covid-19
cold_war,"Geopolitesch Situatioun mam Label ""Kale Krich"" 1945-1991",,Geopolitical situation labeled “Cold War” 1945-1991
timeline_created,"Dës Timeline gouf am Joer 2023 erstallt, dat wäermst Joer an der mënschlecher Geschicht an de leschten 125.000 Joer",,"This timeline was created in 2023, the hottest year in human history and the last 125,000 years"
codex_sinaiticus,Codex Sinaiticus geschriwwen,,Codex Sinaiticus written
codex_vaticanus,Codex Vaticanus geschriwwen,,Codex Vaticanus written
leningrad_codex,Leningrad Codex geschriwwen zu Kairo AD 1008,,Leningrad Codex written in Cairo AD 1008
john,"De John schreift ""Offenbarung"" wärend hien op Patmos 96-98 CE exiléiert ass.",,John writes “revelation” while exiled on Patmos 96-98 C.E.
nicaea1,Éischt Conseil vun Nicaea,,First Council of Nicaea
buddha,De Buddha - Siddhartha Gautama c.563-c.483 B.C.E,,The Buddha – Siddhartha Gautama c.563-c.483 B.C.E
buddha2,Buddha alternativ c. 480-400 B.C.E.,,Buddha alternatively c. 480-400 B.C.E.
mohammed,Mohammed c. 570-632 C.E.,,Mohammed c. 570-632 C.E.
confucius,Konfuzius c.551-c.479 B.C.E.,,Confucius c.551-c.479 B.C.E.
hijrah,Hijrah - Rees Mekka op Medina 16. Juli 622,,Hijrah - Journey Mecca to Medina 16 July 622
moses_escape,"1553 B.C.E. Moses muss Ägypten flüchten - Exodus 2:15, Akten 7:23",,"1553 B.C.E. Moses has to escape Egypt – Exodus 2:15, Acts 7:23"
10plagues,1513 B.C.E Ägypten kritt 10 Plagen,,1513 B.C.E Egypt receives 10 plagues
joseph_sold,De Joseph huet am Alter vu 17 als Sklave verkaaft - Gen 37:2,,Joseph sold as slave at the age of 17 – Gen 37:2
infliction,400 Joer Infliction (Akten 7:6) - Ismael 1913 B.C.E,,400 year infliction (Acts 7:6) – Ishmael 1913 B.C.E
Alexander,Alexander de Groussen (Daniel 11:3),,Alexander the Great (Daniel 11:3)
persia,"Cyrus de Groussen, Kambyses II, Dareios I 490 BCE, Xerxes I 480 BCE (Mann vun Esther, Daniel 11:2)",,"Cyrus the Great, Cambyses II, Darius I 490 BCE, Xerxes I 480 BCE (husband of Esther, Daniel 11:2)"
persia2,Persien,,Persia
king_north,"Seleucus I. Nicator (v5) Syrien bis Antiochos III (v10) a Seleucus IV (v18, 19) bis Octavian (v20) an Tiberius (v21-24)",,"Seleucus I Nicator (v5) Syria to Antiochus III (v10) and Seleucus IV (v18, 19) down to Octavian (v20) and Tiberius (v21-24)"
king_north1,Kinnek vum Norden,,King of the North
king_south,"Ptolemäus I, II, III, IV (v11, 12), V (v15, 16) an d'Schluecht Actium 31 B.C.E.",,"Ptolemy I, II, III, IV (v11, 12), V (v15, 16) to the battle Actium 31 B.C.E."
king_south1,Kinnek vum Süden,,King of the South
king_south2,"Britescht Räich 1870, anglo-amerikanesch Weltmuecht zënter 1914",,"British empire 1870, Anglo-American World Power since 1914"
king_south3,Kinnek vum Süden,,King of the South
king_north2,"Däitschland mam Keeser Wëllem I. 1871 (v28), 1914 (v29), 1935 (v30b), 1939 (v31a)",,"Germany with Emperor William I 1871 (v28), 1914 (v29), 1935 (v30b), 1939 (v31a)"
king_north3,Norden,,North
king_north4,"Sowjetunioun 1945-1991 (Daniel 11:32-39, 40b, 41)",,"Soviet Union 1945-1991 (Daniel 11:32-39, 40b, 41)"
king_north5,Russland zënter 2017 (w20 Mee),,Russia since 2017 (w20 May)
time_of_end,"Präsenz vu Christus, Conclusioun vum System vun de Saachen (Matthäus 24:3), déi lescht Deeg (2 Timothy 3:1)",scriptures written out,"Presence of Christ, Conclusion of the system of things (Matthew 24:3), the last days (2 Timothy 3:1)"
time_of_end2,lescht Deeg,,last days
suryavaman2,King Suryavarman II baut Angkor Wat 1113-1150,,King Suryavarman II builds Angkor Wat 1113-1150
notre-dame,Notre-Dame de Paris gebaut 1163-1260,,Notre-Dame de Paris built 1163-1260
jehoiada,Joiada,2 Kings 11:4,Jehoiada
babel,Tuerm vu Babel gebaut,,tower of Babel built
Haggai,Haggai,,Haggai
Zerubbabel,Zerubbabel (Lukas 3:27),Luke 3:27,Zerubbabel (Luke 3:27)
Babylon,"Daniel 2:32, 36-38; 7: 4",,"Daniel 2:32, 36-38; 7:4"
Medopersia,"Daniel 2:32, 39; 7: 5",,"Daniel 2:32, 39; 7:5"
Greece,"Daniel 2:32, 39; 7: 6",,"Daniel 2:32, 39; 7:6"
Rome,"Daniel 2:33, 40; 7: 7",,"Daniel 2:33, 40; 7:7"
Angloamerica,"Daniel 2:33, 41-43",,"Daniel 2:33, 41-43"
Babylon_c,Babylon,,Babylon
Medopersia_c,Medo-Persien,,Medo-Persia
Greece_c,Griichenland,,Greece
Rome_c,Rom,,Rome
Angloamerica_c,Anglo-Amerika,,Anglo-America
infliction1,400 Joer Infliction,Acts 7:6,400 year infliction
infliction2,Akten 7:6,,Acts 7:6
Jacob2,Jacob/,Jacob/Israel 1858-1711 – 147 years,Jacob/
Israel,Israel,Genesis 35:10,Israel
Sarah,Sarah,"2008-1881 BCE – 127 years, Isaiah 51:2",Sarah
Hagar,Hagar,Genesis 21:14,Hagar
Haran,Haran,Genesis 11:26,Haran
Reumah,Reumah,Concubine – 4 sons 22:24,Reumah
Milcah,Milcah,8 sons (Bethuel and 7 more),Milcah
Lot,Lot,Genesis 11:27,Lot
Lots_wife,Dem Lot seng Fra,,Lot’s wife
Lots_daughters,Duechtere vum Lot,,Daughters of Lot
Moab,Moab (eeler Duechter),Genesis 19:37,Moab (older daughter)
Ammon,Ben-ammi (Ammon),Genesis 19:38,Ben-ammi (Ammon)
Bethuel,Bethuel,Genesis 22:23,Bethuel
Rebekah,Rebekka,,Rebekah
Laban,Laban,Genesis 24:29,Laban
Leah,Leah,Genesis 35:23,Leah
Rachel,Rachel,Genesis 35:24,Rachel
Bilhah,Bilhah,Genesis 35:25,Bilhah
Zilpah,Zilpah,Genesis 35:26,Zilpah
Reuben,Ruben,,Reuben
Simeon,Simeon,,Simeon
Levi,Levi,Genesis 35:23,Levi
Judah,Juda,,Judah
Issachar,Issachar,,Issachar
Zebulun,Zebulun,,Zebulun
Dinah,Dinah,Genesis 34,Dinah
Esau,Esau/,,Esau/
Edom,Edom,Genesis 36:1,Edom
Ishmael,Ismael,Genesis 16:16,Ishmael
Manasseh2,(Manasseh,Genesis 41:50-52,(Manasseh
Ephraim,an Ephraim),,and Ephraim)
Benjamin,Benjamin,,Benjamin
Dan,Dann,Genesis 35:23,Dan
Naphtali,Naphtali,,Naphtali
Gad,Gad,,Gad
Asher,Escher,,Asher
Milcah1,"Uz, Buz, Kemuel,",Genesis 22:21,"Uz, Buz, Kemuel,"
Milcah2,"Chesed, Hazo,",,"Chesed, Hazo,"
Milcah3,"Pildash, Jidlaph",,"Pildash, Jidlaph"
Tebah,Tebah,Genesis 22:24,Tebah
Gaham,Gaham,,Gaham
Tahash,Tahasch,,Tahash
Maacah,Maach,,Maacah
Mahalath,Mahalath/,"Genesis 28:8, 9",Mahalath/
Basemath,Basemath,"Genesis36:3, 4",Basemath
Reuel,Reuel,"36:13, 17",Reuel
Nahath,Nahath,,Nahath
Zerah,Zerah,,Zerah
Schammah,Schammah,,Schammah
Mizzah,Mizzah,,Mizzah
Adah,Adah,"36:11, 12, 15, 16",Adah
Eliphaz,Eliphaz,,Eliphaz
Teman,Teman,,Teman
Omar,Omar,,Omar
Zepho,Zepho,,Zepho
Kenaz,Kenaz,,Kenaz
Korah,Korah,,Korah
Gatam,Gatam,,Gatam
Amalek,Amalek,,Amalek
Oholibamah,Oholibamah,"36:14, 18",Oholibamah
Jeush,Jeush,,Jeush
Jalam,Jalam,,Jalam
Nebaioth,Nebaioth,Genesis 25:13,Nebaioth
Kedar,Kedar,,Kedar
Adbeel,Adbeel,,Adbeel
Mibsam,Mibsam,,Mibsam
Mishma,Mishma,,Mishma
Dumah,Dumah,,Dumah
Massa,Massa,,Massa
Hadad,Hadad,,Hadad
Tema,Thema,,Tema
Jetur,Jetur,,Jetur
Naphish,Naphesch,,Naphish
Kedemah,Kedemah,,Kedemah
Babylon2, ,no text left and right – empty!, 
terahfam,Membere vun der Famill Terah,,members of Terah’s family
rosetta,Rosetta Steen 196 B.C.E.,,Rosetta stone 196 B.C.E.
Herodotus,Herodot c. 484-c. 425 v,Father of History,"Herodotus c. 484 – c. 425 BC, writes The Histories"
Aristotle,Aristoteles 384 – 322 v,"The First Teacher, The Philosopher",Aristotle 384 – 322 BC
Ptolemy,Ptolemäus c 100 - c. 170 C.E.,,Ptolemy c 100 – c. 170 C.E.
Pythagoras,Pythagoras c. 570-c. 495 v,,Pythagoras c. 570 – c. 495 BC
Plato,Platon c. 427-c. 348 v,,Plato c. 427 – c. 348 BC
Socrates,Sokrates c. 470-c. 399 v,,Socrates c. 470 – c. 399 BC
Josephus,Josephus c. 37-c. 100 C.E.,,Josephus c. 37 – c. 100 C.E.
Cicero,Cicero 106–43 v,"influence on Latin language, 3 Jan 106 BC – 7 Dec 43 BC",Cicero 106–43 BC
lachish_letters,Lachische Buchstaben c. 590 B.C.E.,,Lachish letters c. 590 B.C.E.
lachish_reliefs,Lachische Reliefs c. 681 B.C.E.,,Lachish reliefs c. 681 B.C.E.
mesha_stele,Mesha Stele (Moabite Steen) c. 840 B.C.E.,,Mesha Stele (Moabite stone) c. 840 B.C.E.
gilgamesh,Gilgamesch an Aga,,Gilgamesh and Aga 𒇽𒆥𒄄𒀀𒀝𒂵
epic_gilgamesh,Gilgamesch-Epos (Sîn-lēqi-unninni),,Epic of Gilgamesh (Sîn-lēqi-unninni)
oxyrhynchus,Oxyrhynchus Papyri,,Oxyrhynchus Papyri
p52,Papyrus P52,,Papyrus P52
daniel2_shift,0,Start 4.2,0
daniel2_1,Kinnek Nebuchadnezzar,607 BCE,King Nebuchadnezzar
daniel2_2,zerstéiert Jerusalem,,destroys Jerusalem
daniel2_3,Erobert Babylon,539 BCE,Conquers Babylon
daniel2_4,Cyrus Dekreter zréck,537 BCE,Cyrus decrees return
daniel2_5,vu Judden zu Jerusalem,,of Jews to Jerusalem
daniel2_6,Alexander de Groussen,331 BCE,Alexander the Great
daniel2_7,erobert Persien,,conquers Persia
daniel2_8,Regelen iwwer Israel,63 BCE,Rules over Israel
daniel2_9,Zerstéiert Jerusalem,70 CE,Destroys Jerusalem
daniel2_10,"Während dem Éischte Weltkrich,",1914-1918 CE,"During World War I,"
daniel2_11,Anglo-amerikanesch Weltmuecht,,Anglo-American World Power
daniel2_12,kënnt entstanen,End 4.2,comes into being
qing-dynasty,1636-1912,,1636-1912
qing-dynasty_c,Qing Dynastie,1636-1912,Qing dynasty
ming-dynasty,1368-1644,,1368-1644
ming-dynasty_c,Ming Dynastie am keeserleche China,1368-1644,Ming dynasty in imperial China
yuan-dynasty,1271-1368,,1271-1368
southern-song,1127-1279,,1127-1279
northern-song,960-1127,,960-1127
western-xia,1038-1227,,1038-1227
yuan-dynasty_c,Yuan,1271-1368,Yuan
southern-song_c,Südsong,1127-1279,Southern Song
northern-song_c,Nordlied,960-1127,Northern Song
western-xia_c,Westlech Xia,1038-1227,Western Xia
Copernicus,Nicolaus Copernicus,,Nicolaus Copernicus
Galileo,Galileo Galilei,Galileo di Vincenzo Bonaiuti de' Galilei,Galileo Galilei
Newton,Isaac Newton,,Isaac Newton
gregorian,Gregorianesche Kalenner 1582,,Gregorian calendar 1582
shang-dynasty,c. 1600-1046 v,,c. 1600-1046 BC
western-zhou,c. 1046-771 v,,c. 1046-771 BC
eastern-zhou,770-256 v,,770-256 BC
qin-dynasty,Qin 221-207 v,,Qin 221-207 BC
western-han,207 BC - 9 CE,,207 BC – 9 CE
eastern-han,25-220 CE,,25-220 CE
three-kingdoms,Dräi Räicher 220-280 CE,,Three kingdoms 220-280 CE
sixteen-kingdoms,Siechzéng Kinnekräicher 304-439 CE,,Sixteen kingdoms 304-439 CE
northern-dynasties,368-581 CE,,368-581 CE
southern-dynasties,420-589 CE,,420-589 CE
tang-dynasty1, ,, 
tang-dynasty2,"618-690, 705-907",,"618-690, 705-907"
wu-zhou,690-705 Wu Zhou,,690-705 Wu Zhou
shang-dynasty_c,Shang Dynastie,c. 1600-1046 BC,Shang Dynasty
western-zhou_c,Western Zhou,c. 1046-771 BC,Western Zhou
eastern-zhou_c,Ost-Zhou,770-256 BC,Eastern Zhou
western-han_c,Western Han,207 BC – 9 CE,Western Han
eastern-han_c,Ost Han,25-220 CE,Eastern Han
three-kingdoms_c,China,Three kingdoms 220-280 CE,China
sixteen-kingdoms_c,China,Sixteen kingdoms 304-439 CE,China
northern-dynasties_c,Norddynastien,368-581 CE,Northern Dynasties
southern-dynasties_c,Süddynastien,420-589 CE,Southern Dynasties
tang-dynasty1_c,Tang,,Tang
tang-dynasty2_c,Tang Dynastie,"618-690, 705-907",Tang Dynasty
xia-dynasty,Xia Dynastie a China c. 2070 - c. 1600 v,,Xia dynasty in China c. 2070 – c. 1600 BC
gonghe,Gonghe Regentschaft 841-828 v,,Gonghe Regency 841-828 BC
Ashoka,Ashoka (c. 304-232 v. Chr.) fördert de Buddhismus,,Ashoka (c. 304-232 BC) promotes Buddhism
siloam-tunnel,Hezekiah verlängert Siloam Tunnel,c. 742-732 BC,Hezekiah extends Siloam tunnel
Angloamerica2,"Anglo-Amerikanesch ass symboliséiert duerch d'Féiss vum Eisen gemëscht mat Lehm an der Profezeiung am Daniel 2:33, 41-43",,"Anglo-American is symbolized by the feet of iron mixed with clay in the prophecy in Daniel 2:33, 41-43"
Manetho,Manetho schreift Aegyptiaca,,Manetho writes Aegyptiaca
tribulation,"The Great Tribulation (Mark 13:19; Daniel 12:1; Matt 24:21, 22)",,"The Great Tribulation (Mark 13:19; Daniel 12:1; Matt 24:21, 22)"
destruction_babylon,"Zerstéierung vu Babylon de Groussen (Offenbarung 17:3, 15-18; 18:9, 10)",beginning of great tribulation (GT),"Destruction of Babylon the Great (Revelation 17:3, 15-18; 18:9, 10)"
gog_of_magog,"Attack vum Gog vu Magog (Ezekiel 38:1, 2, 9-12, 18-23)",end of GT,"Attack of Gog of Magog (Ezekiel 38:1, 2, 9-12, 18-23)"
